code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
534421,Bavoryně,239,151,150,18,0,0,6,0,8,7,5,2,4,0,0,16,0,0,11,55,0,2,3,0,0,0,2,11,0
531057,Beroun,14 804,9 145,9 076,1 363,16,11,576,1,433,651,140,78,205,8,12,1 290,4,6,641,2 433,3,13,279,2,61,17,12,800,21
531073,Běštín,262,158,157,27,2,0,21,0,2,11,3,3,3,1,0,12,0,0,2,40,0,0,2,0,1,0,1,26,0
531081,Broumy,743,491,489,62,1,0,35,2,20,54,6,5,8,0,0,76,1,3,22,144,0,4,11,0,3,0,0,32,0
531090,Březová,246,168,168,30,0,0,12,0,21,14,2,1,0,0,0,12,0,0,7,38,0,0,5,0,1,0,0,25,0
531103,Bubovice,372,270,269,44,2,0,8,0,10,11,4,0,6,0,0,50,0,1,28,65,1,0,9,0,3,2,1,24,0
534145,Bykoš,183,121,121,13,0,0,16,0,6,13,4,0,0,0,0,12,0,0,5,37,0,0,1,0,1,1,0,12,0
531120,Bzová,364,238,235,23,0,0,18,0,11,25,1,3,7,0,0,23,1,1,13,76,0,0,5,0,4,0,0,24,0
531138,Cerhovice,909,593,591,80,1,0,60,0,44,33,5,9,14,0,0,52,0,0,20,201,0,1,18,0,2,1,3,44,3
531154,Drozdov,604,420,418,58,0,0,41,0,25,58,5,3,4,0,0,37,1,0,11,127,0,0,14,0,2,0,3,28,1
531162,Felbabka,215,136,135,27,0,0,16,0,7,17,0,0,7,0,0,9,0,0,4,40,0,0,2,0,0,0,0,5,1
531171,Hlásná Třebaň,759,578,572,114,1,0,17,2,48,23,12,5,11,1,2,95,0,0,60,131,0,0,19,0,1,0,0,28,2
531189,Hořovice,5 247,3 110,3 090,588,7,3,254,2,108,305,57,14,41,2,2,290,3,1,149,864,3,9,88,2,17,4,4,269,4
531201,Hostomice,1 333,796,790,126,5,0,61,1,25,55,10,3,15,0,0,102,1,1,45,232,0,1,19,0,3,3,5,75,2
531219,Hředle,299,217,216,26,2,0,12,0,6,18,5,0,2,0,1,30,0,0,8,81,0,0,4,0,2,0,0,19,0
531227,Hudlice,978,663,658,82,2,0,52,0,18,133,11,6,11,0,0,63,0,0,18,177,0,0,6,0,1,0,4,73,1
531235,Hvozdec,213,155,154,21,0,0,13,0,11,26,2,2,4,0,0,11,0,0,3,40,0,0,3,0,0,0,0,18,0
531243,Hýskov,1 335,879,868,139,1,0,62,1,42,54,15,7,19,2,1,119,0,0,74,219,2,1,21,0,5,3,2,78,1
531251,Chaloupky,423,298,294,58,0,2,21,0,11,32,5,1,6,2,0,26,0,0,10,87,0,0,1,0,3,0,1,27,1
